Iter	 Iter_time	 Master	 Subprob	 Full_Test	 argmax	Iter_acc	 Master_acc	 Subprob_acc	 Full_Test_acc	 argmax_acc
140	 0.002703	 0.002544	 0.000071	 0.000000	 0.000055	0.416731	 0.397816	 0.008544	 0.000000	 0.005740
141	 0.002680	 0.002580	 0.000044	 0.000000	 0.000030	0.419411	 0.400396	 0.008588	 0.000000	 0.005770
142	 0.003064	 0.002909	 0.000071	 0.000000	 0.000052	0.422475	 0.403305	 0.008659	 0.000000	 0.005822
143	 0.003095	 0.002976	 0.000053	 0.000000	 0.000035	0.425570	 0.406281	 0.008712	 0.000000	 0.005857
144	 0.002858	 0.002635	 0.000084	 0.000000	 0.000059	0.428428	 0.408916	 0.008796	 0.000000	 0.005916
145	 0.002800	 0.002692	 0.000050	 0.000000	 0.000030	0.431228	 0.411608	 0.008846	 0.000000	 0.005946
146	 0.002678	 0.002521	 0.000066	 0.000000	 0.000055	0.433906	 0.414129	 0.008912	 0.000000	 0.006001
147	 0.002564	 0.002477	 0.000032	 0.000000	 0.000029	0.436470	 0.416606	 0.008944	 0.000000	 0.006030
148	 0.002685	 0.002522	 0.000075	 0.000000	 0.000054	0.439155	 0.419128	 0.009019	 0.000000	 0.006084
149	 0.002794	 0.002707	 0.000032	 0.000000	 0.000028	0.441949	 0.421835	 0.009051	 0.000000	 0.006112
150	 0.002622	 0.002474	 0.000061	 0.000000	 0.000053	0.444571	 0.424309	 0.009112	 0.000000	 0.006165
151	 0.002717	 0.002596	 0.000065	 0.000000	 0.000031	0.447288	 0.426905	 0.009177	 0.000000	 0.006196
152	 0.003068	 0.002918	 0.000060	 0.000000	 0.000054	0.450356	 0.429823	 0.009237	 0.000000	 0.006250
153	 0.002907	 0.002805	 0.000039	 0.000000	 0.000035	0.453263	 0.432628	 0.009276	 0.000000	 0.006285
154	 0.002651	 0.002494	 0.000065	 0.000000	 0.000055	0.455914	 0.435122	 0.009341	 0.000000	 0.006340
155	 0.002724	 0.002614	 0.000052	 0.000000	 0.000031	0.458638	 0.437736	 0.009393	 0.000000	 0.006371
156	 0.002787	 0.002616	 0.000071	 0.000000	 0.000051	0.461425	 0.440352	 0.009464	 0.000000	 0.006422
157	 0.002904	 0.002806	 0.000035	 0.000000	 0.000033	0.464329	 0.443158	 0.009499	 0.000000	 0.006455
158	 0.002781	 0.002632	 0.000061	 0.000000	 0.000054	0.467110	 0.445790	 0.009560	 0.000000	 0.006509
159	 0.002904	 0.002801	 0.000045	 0.000000	 0.000032	0.470014	 0.448591	 0.009605	 0.000000	 0.006541
160	 0.002722	 0.002576	 0.000061	 0.000000	 0.000053	0.472736	 0.451167	 0.009666	 0.000000	 0.006594
161	 0.003028	 0.002934	 0.000034	 0.000000	 0.000030	0.475764	 0.454101	 0.009700	 0.000000	 0.006624
162	 0.004004	 0.003750	 0.000133	 0.000000	 0.000078	0.479768	 0.457851	 0.009833	 0.000000	 0.006702
163	 0.003059	 0.002952	 0.000035	 0.000000	 0.000031	0.482827	 0.460803	 0.009868	 0.000000	 0.006733
164	 0.002778	 0.002597	 0.000089	 0.000000	 0.000058	0.485605	 0.463400	 0.009957	 0.000000	 0.006791
165	 0.002704	 0.002614	 0.000034	 0.000000	 0.000031	0.488309	 0.466014	 0.009991	 0.000000	 0.006822
166	 0.002660	 0.002499	 0.000076	 0.000000	 0.000054	0.490969	 0.468513	 0.010067	 0.000000	 0.006876
167	 0.002632	 0.002546	 0.000032	 0.000000	 0.000030	0.493601	 0.471059	 0.010099	 0.000000	 0.006906
168	 0.002847	 0.002687	 0.000074	 0.000000	 0.000052	0.496448	 0.473746	 0.010173	 0.000000	 0.006958
169	 0.002797	 0.002694	 0.000044	 0.000000	 0.000031	0.499245	 0.476440	 0.010217	 0.000000	 0.006989
170	 0.003207	 0.003044	 0.000073	 0.000000	 0.000053	0.502452	 0.479484	 0.010290	 0.000000	 0.007042
171	 0.002910	 0.002768	 0.000067	 0.000000	 0.000041	0.505362	 0.482252	 0.010357	 0.000000	 0.007083
172	 0.002847	 0.002693	 0.000065	 0.000000	 0.000056	0.508209	 0.484945	 0.010422	 0.000000	 0.007139
173	 0.002768	 0.002679	 0.000032	 0.000000	 0.000031	0.510977	 0.487624	 0.010454	 0.000000	 0.007170
174	 0.002959	 0.002775	 0.000087	 0.000000	 0.000061	0.513936	 0.490399	 0.010541	 0.000000	 0.007231
175	 0.002914	 0.002820	 0.000034	 0.000000	 0.000031	0.516850	 0.493219	 0.010575	 0.000000	 0.007262
176	 0.002857	 0.002710	 0.000060	 0.000000	 0.000055	0.519707	 0.495929	 0.010635	 0.000000	 0.007317
177	 0.002776	 0.002672	 0.000047	 0.000000	 0.000030	0.522483	 0.498601	 0.010682	 0.000000	 0.007347
178	 0.002809	 0.002645	 0.000074	 0.000000	 0.000056	0.525292	 0.501246	 0.010756	 0.000000	 0.007403
179	 0.002808	 0.002703	 0.000044	 0.000000	 0.000033	0.528100	 0.503949	 0.010800	 0.000000	 0.007436
180	 0.003227	 0.003067	 0.000070	 0.000000	 0.000056	0.531327	 0.507016	 0.010870	 0.000000	 0.007492
181	 0.002789	 0.002638	 0.000060	 0.000000	 0.000038	0.534116	 0.509654	 0.010930	 0.000000	 0.007530
182	 0.002799	 0.002624	 0.000079	 0.000000	 0.000059	0.536915	 0.512278	 0.011009	 0.000000	 0.007589
183	 0.002829	 0.002716	 0.000034	 0.000000	 0.000050	0.539744	 0.514994	 0.011043	 0.000000	 0.007639
184	 0.002715	 0.002565	 0.000058	 0.000000	 0.000054	0.542459	 0.517559	 0.011101	 0.000000	 0.007693
185	 0.002851	 0.002763	 0.000031	 0.000000	 0.000031	0.545310	 0.520322	 0.011132	 0.000000	 0.007724
186	 0.002724	 0.002560	 0.000076	 0.000000	 0.000053	0.548034	 0.522882	 0.011208	 0.000000	 0.007777
187	 0.002832	 0.002718	 0.000049	 0.000000	 0.000032	0.550866	 0.525600	 0.011257	 0.000000	 0.007809
188	 0.002911	 0.002755	 0.000067	 0.000000	 0.000058	0.553777	 0.528355	 0.011324	 0.000000	 0.007867
189	 0.003015	 0.002924	 0.000033	 0.000000	 0.000032	0.556792	 0.531279	 0.011357	 0.000000	 0.007899
190	 0.003137	 0.002961	 0.000084	 0.000000	 0.000060	0.559929	 0.534240	 0.011441	 0.000000	 0.007959
191	 0.002967	 0.002842	 0.000057	 0.000000	 0.000036	0.562896	 0.537082	 0.011498	 0.000000	 0.007995
192	 0.002929	 0.002768	 0.000067	 0.000000	 0.000058	0.565825	 0.539850	 0.011565	 0.000000	 0.008053
193	 0.002783	 0.002686	 0.000036	 0.000000	 0.000032	0.568608	 0.542536	 0.011601	 0.000000	 0.008085
194	 0.002709	 0.002560	 0.000058	 0.000000	 0.000057	0.571317	 0.545096	 0.011659	 0.000000	 0.008142
195	 0.002803	 0.002714	 0.000031	 0.000000	 0.000031	0.574120	 0.547810	 0.011690	 0.000000	 0.008173
196	 0.002869	 0.002701	 0.000080	 0.000000	 0.000058	0.576989	 0.550511	 0.011770	 0.000000	 0.008231
197	 0.002612	 0.002505	 0.000047	 0.000000	 0.000033	0.579601	 0.553016	 0.011817	 0.000000	 0.008264
198	 0.002893	 0.002734	 0.000072	 0.000000	 0.000056	0.582494	 0.555750	 0.011889	 0.000000	 0.008320
199	 0.002992	 0.002898	 0.000034	 0.000000	 0.000031	0.585486	 0.558648	 0.011923	 0.000000	 0.008351
200	 0.003023	 0.002848	 0.000069	 0.000000	 0.000062	0.588509	 0.561496	 0.011992	 0.000000	 0.008413
201	 0.002790	 0.002663	 0.000058	 0.000000	 0.000037	0.591299	 0.564159	 0.012050	 0.000000	 0.008450
202	 0.002867	 0.002704	 0.000063	 0.000000	 0.000067	0.594166	 0.566863	 0.012113	 0.000000	 0.008517
203	 0.002748	 0.002645	 0.000047	 0.000000	 0.000031	0.596914	 0.569508	 0.012160	 0.000000	 0.008548
204	 0.002820	 0.002672	 0.000061	 0.000000	 0.000057	0.599734	 0.572180	 0.012221	 0.000000	 0.008605
205	 0.002880	 0.002788	 0.000031	 0.000000	 0.000032	0.602614	 0.574968	 0.012252	 0.000000	 0.008637
206	 0.002928	 0.002762	 0.000077	 0.000000	 0.000059	0.605542	 0.577730	 0.012329	 0.000000	 0.008696
207	 0.002891	 0.002791	 0.000044	 0.000000	 0.000031	0.608433	 0.580521	 0.012373	 0.000000	 0.008727
208	 0.002952	 0.002783	 0.000075	 0.000000	 0.000059	0.611385	 0.583304	 0.012448	 0.000000	 0.008786
209	 0.003042	 0.002936	 0.000045	 0.000000	 0.000033	0.614427	 0.586240	 0.012493	 0.000000	 0.008819
210	 0.003023	 0.002815	 0.000072	 0.000000	 0.000097	0.617450	 0.589055	 0.012565	 0.000000	 0.008916
211	 0.002662	 0.002572	 0.000032	 0.000000	 0.000030	0.620112	 0.591627	 0.012597	 0.000000	 0.008946
212	 0.002955	 0.002805	 0.000060	 0.000000	 0.000056	0.623067	 0.594432	 0.012657	 0.000000	 0.009002
213	 0.002667	 0.002550	 0.000054	 0.000000	 0.000035	0.625734	 0.596982	 0.012711	 0.000000	 0.009037
214	 0.002856	 0.002705	 0.000063	 0.000000	 0.000056	0.628590	 0.599687	 0.012774	 0.000000	 0.009093
215	 0.002758	 0.002670	 0.000032	 0.000000	 0.000030	0.631348	 0.602357	 0.012806	 0.000000	 0.009123
216	 0.002891	 0.002724	 0.000076	 0.000000	 0.000056	0.634239	 0.605081	 0.012882	 0.000000	 0.009179
217	 0.002864	 0.002771	 0.000032	 0.000000	 0.000032	0.637103	 0.607852	 0.012914	 0.000000	 0.009211
218	 0.003104	 0.002924	 0.000082	 0.000000	 0.000061	0.640207	 0.610776	 0.012996	 0.000000	 0.009272
219	 0.003163	 0.003048	 0.000051	 0.000000	 0.000035	0.643370	 0.613824	 0.013047	 0.000000	 0.009307
220	 0.002984	 0.002794	 0.000087	 0.000000	 0.000066	0.646354	 0.616618	 0.013134	 0.000000	 0.009373
221	 0.002634	 0.002539	 0.000034	 0.000000	 0.000033	0.648988	 0.619157	 0.013168	 0.000000	 0.009406
222	 0.002761	 0.002605	 0.000062	 0.000000	 0.000058	0.651749	 0.621762	 0.013230	 0.000000	 0.009464
223	 0.002977	 0.002874	 0.000045	 0.000000	 0.000031	0.654726	 0.624636	 0.013275	 0.000000	 0.009495
